temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,temple_urls,temple_address,lat,long,prophet,interval,prophet_start,prophet_end,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat_general,long_general,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID
Taylorsville Utah Temple,4,4,1,70460,7.5,NA,NA,NA,NA,1,Attached,No,2019-10-05,2020-10-31,NA,https://churchofjesuschristtemples.org/taylorsville-utah-temple,"2603 West 4700 South, Taylorsville, Utah 84118, United States",40.667165988436,-111.95542503705,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Taylorsville, Utah, United States",CONSTRUCTION,Construction,4124797,taylorsville-utah-temple,Taylorsville,Utah,United States,,NA,FALSE,Taylorsville  ,40.6676347,-111.9388027,49,035,113522,1,490351135221
Tegucigalpa Honduras Temple,2,2,1,28254,13.6,43,9,52,NA,1,Attached,Yes,2006-06-09,2009-09-12,2013-03-17,https://churchofjesuschristtemples.org/tegucigalpa-honduras-temple,"Residencial Roble Oeste, Boulevard Roble Oeste, 3ra Calle Sur., Comayagüela, M.D.C., Francisco Morazán, Honduras",14.05365,-87.24236,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Comayagüela, Francisco Morazán, Honduras",OPERATING,17 March 2013,77556,tegucigalpa-honduras-temple,Comayagüela,Francisco Morazán,Honduras,"March 17, 2013",NA,FALSE,Tegucigalpa Honduras ,14.0980079,-87.2099671,NA,NA,NA,NA,NA
Teresina Brazil Temple,NA,NA,NA,25420,3.6,NA,NA,NA,213.7,NA,NA,NA,2023-04-02,NA,NA,https://churchofjesuschristtemples.org/teresina-brazil-temple,"Av. Raul Lopes and Rua Des. Pedro Conde, Noivos, Teresina–PI, Brazil",-5.089449991979,-42.77913003358,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Brazil,ANNOUNCED,Announced,4156608,teresina-brazil-temple,,,brazil,,brazil,TRUE,Teresina Brazil ,-10.3333333,-53.2,NA,NA,NA,NA,NA
Teton River Idaho Temple,NA,NA,NA,130000,16.6,NA,NA,NA,NA,NA,NA,NA,2021-10-03,NA,NA,https://churchofjesuschristtemples.org/teton-river-idaho-temple,"1419 N 2nd E, Rexburg, Idaho 83440, United States",43.855250018581,-111.77837803577,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Idaho, United States",ANNOUNCED,Announced,4142981,teton-river-idaho-temple,Teton River,Idaho,United States,,NA,TRUE,Teton River  ,43.7648921,-111.2035833,16,065,950100,2,160659501002
The Gila Valley Arizona Temple,2,2,1,18561,17,6,0,6,NA,1,Attached,Yes,2008-04-26,2009-02-14,2010-05-23,https://churchofjesuschristtemples.org/the-gila-valley-arizona-temple,"5291 W Highway 70, Central, Arizona 85531, United States",32.862164188578,-109.789741667821,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Central, Arizona, United States",OPERATING,23 May 2010,4004670,the-gila-valley-arizona-temple,Central,Arizona,United States,"May 23, 2010",NA,FALSE,The Gila Valley  ,32.8675652,-109.7928591,04,009,961202,2,040099612022
The Hague Netherlands Temple,2,2,1,10500,2.7,4,0,4,-3.5,1,Attached,Yes,1999-08-16,2000-08-26,2002-09-08,https://churchofjesuschristtemples.org/the-hague-netherlands-temple,"Osylaan 2, 2722 CV Zoetermeer, Netherlands",52.054462908793,4.503069270636,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Zoetermeer, Zuid-Holland, Netherlands",OPERATING,8 September 2002,40705,the-hague-netherlands-temple,Zoetermeer,Zuid-Holland,Netherlands,"September 8, 2002",NA,FALSE,The Hague Netherlands ,52.0622531,4.4901218,NA,NA,NA,NA,NA
Tijuana Mexico Temple,2,2,1,33367,9.4,10,0,10,172.4,1,Attached,Yes,2010-10-02,2012-08-18,2015-12-13,https://churchofjesuschristtemples.org/tijuana-mexico-temple,"Paseo Del Rio 6832, Esquina Campestre Oriente, Col 3 RA Etapa Rio Tijuana, 22226 Tijuana, Baja California, Mexico",32.487139987055,-116.933019997987,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Tijuana, Baja California, Mexico",OPERATING,13 December 2015,4009693,tijuana-mexico-temple,Tijuana,Baja California,Mexico,"December 13, 2015",NA,FALSE,Tijuana Mexico ,32.5317397,-117.019529,NA,NA,NA,NA,NA
Tokyo Japan Temple,2,5,1,53997,1.22,16,4,20,80.9,1,Attached,Yes,1975-08-09,1978-04-10,1980-10-27,https://churchofjesuschristtemples.org/tokyo-japan-temple,"5-8-10 Minami Azabu, Minato-ku, Tokyo 106-0047, Japan",35.652834403167,139.724488453811,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Minato-ku, Tokyo, Japan",OPERATING,27 October 1980,15,tokyo-japan-temple,Minato-ku,Tokyo,Japan,"October 27, 1980",NA,FALSE,Tokyo Japan ,35.6432274,139.7400553,NA,NA,NA,NA,NA
Toronto Ontario Temple,4,6,1,57982,13.4,8,1,9,797.8,1,Attached,Yes,1984-04-07,1987-10-10,1990-08-25,https://churchofjesuschristtemples.org/toronto-ontario-temple,"10060 Bramalea Rd, Brampton, Ontario L6R 1A1, Canada",43.744383088194,-79.745846660689,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Brampton, Ontario, Canada",OPERATING,25 August 1990,67,toronto-ontario-temple,Brampton,Ontario,Canada,"August 25, 1990",NA,FALSE,Toronto Ontario ,43.685832,-79.7599366,NA,NA,NA,NA,NA
Torreón Mexico Temple,1,1,1,10000,0.89,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-12-10,NA,https://churchofjesuschristtemples.org/torreon-mexico-temple,"París 266, El Campestre, 35080 Gómez Palacio, Durango, Mexico",25.552969982639,-103.499430028489,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Mexico,CONSTRUCTION,Construction,4138360,torreon-mexico-temple,,,mexico,,mexico,TRUE,Torreón Mexico ,23.6585116,-102.0077097,NA,NA,NA,NA,NA
