temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,temple_urls,temple_address,lat,long,prophet,interval,prophet_start,prophet_end,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat_general,long_general,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID
Aba Nigeria Temple,2,2,1,11500,6.3,70,15,85,192.2,1,Attached,Yes,2000-04-02,2002-02-23,2005-08-07,https://churchofjesuschristtemples.org/aba-nigeria-temple,"72-80 Okpu-Umuobo Rd, Aba, Abia State, Nigeria",5.16667,7.35,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Aba, Abia, Nigeria",OPERATING,7 August 2005,43202,aba-nigeria-temple,Aba,Abia,Nigeria,"August 7, 2005",NA,FALSE,Aba Nigeria ,5.1128008,7.3651376,NA,NA,NA,NA,NA
Abidjan Ivory Coast Temple,NA,NA,NA,NA,0.55,NA,NA,NA,173.1,1,Attached,Yes,2015-04-05,2018-11-08,NA,https://churchofjesuschristtemples.org/abidjan-ivory-coast-temple,"1874 Boulevard de France, Abidjan, Cote d'Ivoire",5.335469769255,-4.011394197845,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Abidjan, Côte d'Ivoire",CONSTRUCTION,Construction,4069710,abidjan-ivory-coast-temple,Abidjan,,Ivory Coast,,NA,TRUE,Abidjan Ivory Coast ,5.320357,-4.016107,NA,NA,NA,NA,NA
Accra Ghana Temple,2,2,1,17500,6,69,27,96,131.8,1,Attached,Yes,1998-02-16,2001-11-16,2004-01-11,https://churchofjesuschristtemples.org/accra-ghana-temple,"57 Independence Ave, North Ridge, P.M.B. CT 209, Cantonments, Accra, Ghana",5.58123,-0.17572,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Accra, Greater Accra, Ghana",OPERATING,11 January 2004,36549,accra-ghana-temple,Accra,Greater Accra,Ghana,"January 11, 2004",NA,FALSE,Accra Ghana ,5.5571096,-0.2012376,NA,NA,NA,NA,NA
Adelaide Australia Temple,2,2,1,10700,6.94,3,1,4,137.7,1,Attached,Yes,1999-03-17,1999-05-29,2000-06-15,https://churchofjesuschristtemples.org/adelaide-australia-temple,"53-59 Lower Portrush Rd, Marden, South Australia 5070, Australia",-34.890555252736,138.634494784584,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Marden, South Australia, Australia",OPERATING,15 June 2000,38298,adelaide-australia-temple,Marden,South Australia,Australia,"June 15, 2000",NA,FALSE,Adelaide Australia ,-34.8925643,138.6347392,NA,NA,NA,NA,NA
Alabang Philippines Temple,NA,NA,NA,NA,2.6,NA,NA,NA,57.5,1,Attached,No,2017-04-02,2020-06-04,NA,https://churchofjesuschristtemples.org/alabang-philippines-temple,"Filinvest Avenue and Corporate Avenue, Alabang, Muntinlupa, Metro Manila, Philippines",14.412030020921,121.038870038948,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,Philippines,CONSTRUCTION,Construction,4098472,alabang-philippines-temple,Manila,,Philippines,,NA,TRUE,Alabang Philippines ,14.5906346,120.9799964,NA,NA,NA,NA,NA
Albuquerque New Mexico Temple,2,3,1,34245,8.5,14,0,14,NA,1,Attached,Yes,1997-04-04,1998-06-20,2000-03-05,https://churchofjesuschristtemples.org/albuquerque-new-mexico-temple,"10301 San Francisco Rd NE, Albuquerque, New Mexico 87122-3437, United States",35.167344010047,-106.524979987426,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Albuquerque, New Mexico, United States",OPERATING,5 March 2000,36550,albuquerque-new-mexico-temple,Albuquerque,New Mexico,United States,"March 5, 2000",NA,FALSE,Albuquerque  ,35.0841034,-106.650985,35,001,003730,3,350010037303
Anchorage Alaska Temple,2,1,1,11937,5.4,9,0,9,205.1,1,Attached,Yes,1997-10-04,1998-04-17,1999-01-09,https://churchofjesuschristtemples.org/anchorage-alaska-temple,"13161 Brayton Dr, Anchorage, Alaska 99516, United States",61.101678014315,-149.840494156741,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Anchorage, Alaska, United States",OPERATING,9 January 1999,36551,anchorage-alaska-temple,Anchorage,Alaska,United States,"January 9, 1999",NA,FALSE,Anchorage  ,61.2163129,-149.894852,02,020,002821,1,020200028211
Antofagasta Chile Temple,NA,NA,NA,23000,1.9,NA,NA,NA,66.5,1,Attached,No,2019-04-07,2020-11-27,NA,https://churchofjesuschristtemples.org/antofagasta-chile-temple,"Avenida de Las Palmeras 44, Antofagasta, Chile",-23.571547077692,-70.393799550996,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Antofagasta, Chile",CONSTRUCTION,Construction,4119596,antofagasta-chile-temple,Antofagasta,,Chile,,NA,TRUE,Antofagasta Chile ,-23.6463741,-70.3980033,NA,NA,NA,NA,NA
Apia Samoa Temple,2,2,1,18691,2,25,0,25,36.6,1,Attached,Yes,1977-10-15,1981-02-19,1983-08-05,https://churchofjesuschristtemples.org/apia-samoa-temple,"Vaitele Street, Pesega, Apia, Samoa",-13.839193475241,-171.764726881183,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Apia, Pesega, Samoa",OPERATING,5 August 1983,28,apia-samoa-temple,Apia,Pesega,Samoa,"August 5, 1983",NA,FALSE,Apia Samoa ,NA,NA,NA,NA,NA,NA,NA
Arequipa Peru Temple,2,2,1,26969,7.91,21,5,26,NA,1,Attached,Yes,2012-10-06,2017-03-04,2019-12-15,https://churchofjesuschristtemples.org/arequipa-peru-temple,"Calle Cusco 380, Carmen Alto, Distrito De Cayma, Arequipa, Arequipa, Peru",-16.361404404326,-71.542618587105,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Arequipa, Peru",OPERATING,15 December 2019,4017570,arequipa-peru-temple,Arequipa,,Peru,"December 15, 2019",NA,TRUE,Arequipa Peru ,-16.3988667,-71.5369607,NA,NA,NA,NA,NA
Asunción Paraguay Temple,2,2,1,11906,1.13,16,15,31,356.3,1,Attached,Yes,2000-04-02,2001-02-03,2002-05-19,https://churchofjesuschristtemples.org/asuncion-paraguay-temple,"Avda Brasilia Esquina Avda España, Asunción, Paraguay",-25.26691503482,-57.597631382462,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Asunción, Alto Paraguay, Paraguay",OPERATING,19 May 2002,43204,asuncion-paraguay-temple,Asunción,Alto Paraguay,Paraguay,"May 19, 2002",NA,FALSE,Asunción Paraguay ,NA,NA,NA,NA,NA,NA,NA
Atlanta Georgia Temple,4,4,1,34500,9.6,17,0,17,NA,1,Attached,Yes,1980-04-02,1981-03-07,1983-06-01,https://churchofjesuschristtemples.org/atlanta-georgia-temple,"6450 Barfield Rd NE, Sandy Springs, Georgia 30328-4283, United States",33.93173698519,-84.362479990517,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Sandy Springs, Georgia, United States",OPERATING,1 June 1983,29,atlanta-georgia-temple,Sandy Springs,Georgia,United States,"June 1, 1983",NA,FALSE,Atlanta  ,33.9242688,-84.3785379,13,121,010121,1,131210101211
Auckland New Zealand Temple,4,3,1,NA,NA,NA,NA,NA,196.9,1,Attached,No,2018-10-07,2020-06-13,NA,https://churchofjesuschristtemples.org/auckland-new-zealand-temple,"Redoubt Road, Manukau, Auckland, New Zealand",-36.992329415973,174.886419197714,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Auckland, New Zealand",CONSTRUCTION,Construction,4114417,auckland-new-zealand-temple,Auckland,,New Zealand,,NA,TRUE,Auckland New Zealand ,-36.852095,174.7631803,NA,NA,NA,NA,NA
Austin Texas Temple,2,2,1,30000,10.6,NA,NA,NA,897.6,1,Attached,No,2022-04-03,NA,NA,https://churchofjesuschristtemples.org/austin-texas-temple,"1801 East Park Street, Cedar Park, Texas, United States",30.516850012595,-97.796062751578,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Texas, United States",ANNOUNCED,Announced,4148133,austin-texas-temple,Austin,Texas,United States,,NA,TRUE,Austin  ,30.2711286,-97.7436995,48,491,020313,1,484910203131
Bacolod Philippines Temple,2,2,1,26700,12.3,NA,NA,NA,93.1,1,Attached,No,2019-10-05,2021-12-11,NA,https://churchofjesuschristtemples.org/bacolod-philippines-temple,"Bacolod Airport Access Road, Bacolod, Philippines",10.704893293787,122.991296918608,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Lanao Del Norte, Philippines",CONSTRUCTION,Construction,4124794,bacolod-philippines-temple,Lanao Del Norte,,Philippines,,NA,TRUE,Bacolod Philippines ,NA,NA,NA,NA,NA,NA,NA
Bahía Blanca Argentina Temple,2,2,1,19000,8.14,NA,NA,NA,134.1,1,Attached,No,2020-04-05,2022-04-09,NA,https://churchofjesuschristtemples.org/bahia-blanca-argentina-temple,"Avenida Alberto Pedro Cabrera, Aldea Romana, Bahia Blanca, Argentina",-38.686053171006,-62.228634804465,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Argentina,CONSTRUCTION,Construction,4130710,bahia-blanca-argentina-temple,,,argentina,,argentina,TRUE,Bahía Blanca Argentina ,-34.9964963,-64.9672817,NA,NA,NA,NA,NA
Bakersfield California Temple,2,2,1,30000,13.07,NA,NA,NA,366,NA,NA,NA,2023-04-02,NA,NA,https://churchofjesuschristtemples.org/bakersfield-california-temple,"Stockdale Highway and Jewetta Avenue, Bakersfield, California, United States",35.353910003488,-119.136819988087,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"California, United States",ANNOUNCED,Announced,4156616,bakersfield-california-temple,Bakersfield,California,United States,,NA,TRUE,Bakersfield  ,35.3738712,-119.0194639,06,029,003813,1,060290038131
Bangkok Thailand Temple,NA,NA,NA,48525,1.77,13,21,34,12,9,Attached,No,2015-04-05,2019-01-26,2023-10-22,https://churchofjesuschristtemples.org/bangkok-thailand-temple,"1645/6 New Petchaburi Road, Makkasan, Ratchathewi, Bangkok, 10400, Thailand",13.749639267917,100.562665211299,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Bangkok, Thailand",OPERATING,22 October 2023,4069712,bangkok-thailand-temple,Bangkok,,Thailand,"October 22, 2023",NA,TRUE,Bangkok Thailand ,13.7524938,100.4935089,NA,NA,NA,NA,NA
Barcelona Spain Temple,2,2,1,27500,5.4,NA,NA,NA,573,NA,NA,NA,2022-04-03,NA,NA,https://churchofjesuschristtemples.org/barcelona-spain-temple,"Avinguda de la Vía Augusta y Avinguda de la Clota, Sant Cugat del Vallès, Barcelona, Spain",41.48760121213,2.065173575313,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Spain,ANNOUNCED,Announced,4148122,barcelona-spain-temple,,,spain,,spain,TRUE,Barcelona Spain ,39.3260685,-4.8379791,NA,NA,NA,NA,NA
Barranquilla Colombia Temple,2,1,1,25349,5.93,7,2,9,174.1,1,Attached,Yes,2011-10-01,2016-02-20,2018-12-09,https://churchofjesuschristtemples.org/barranquilla-colombia-temple,"Carrera 46 via Al Mar PR 107, Sentido, Barranquilla, Atlantico, Colombia",11.015388393551,-74.847607849046,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Barranquilla, Colombia",OPERATING,9 December 2018,4012420,barranquilla-colombia-temple,Barranquilla,,Colombia,"December 9, 2018",NA,TRUE,Barranquilla Colombia ,10.9938698,-74.7927177,NA,NA,NA,NA,NA
Baton Rouge Louisiana Temple,2,2,1,10890,6.3,9,0,9,18,1,Attached,Yes,1998-10-14,1999-05-08,2000-07-16,https://churchofjesuschristtemples.org/baton-rouge-louisiana-temple,"10339 Highland Rd, Baton Rouge, Louisiana 70810, United States",30.362681122666,-91.108438843446,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Baton Rouge, Louisiana, United States",OPERATING,16 July 2000,36984,baton-rouge-louisiana-temple,Baton Rouge,Louisiana,United States,"July 16, 2000",NA,FALSE,Baton Rouge  ,30.4494155,-91.1869659,22,033,004005,4,220330040054
Belém Brazil Temple,2,2,1,28675,6.7,10,2,12,39.9,1,Attached,Yes,2016-04-03,2019-08-17,2022-11-20,https://churchofjesuschristtemples.org/belem-brazil-temple,"Av. Centenário da Assembleia de Deus, 2200, Parque Verde, 66635-894 Belém–PA, Brazil",-1.374723879684,-48.444373662467,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Belém, Para, Brazil",OPERATING,20 November 2022,4086055,belem-brazil-temple,Belém,,Brasilië,"November 20, 2022",NA,TRUE,Belém Brazil ,-1.45056,-48.4682453,NA,NA,NA,NA,NA
Belo Horizonte Brazil Temple,2,2,1,27000,11.8,NA,NA,NA,NA,1,Attached,No,2021-04-04,2023-06-17,NA,https://churchofjesuschristtemples.org/belo-horizonte-brazil-temple,"Rua Professor Jose Vieira de Mendonça, 1485, Engenho Nogueira, Belo Horizonte–MG, Brazil",-19.878980019073,-43.977429961775,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Brazil,CONSTRUCTION,Construction,4138357,belo-horizonte-brazil-temple,,,brazil,,brazil,TRUE,Belo Horizonte Brazil ,-10.3333333,-53.2,NA,NA,NA,NA,NA
Bengaluru India Temple,NA,NA,NA,38670,1.62,NA,NA,NA,NA,5,Attached,No,2018-04-01,2020-12-02,NA,https://churchofjesuschristtemples.org/bengaluru-india-temple,"2-B Whitefield Main Road, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048, India",12.988865661571,77.706987237782,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Bangalore, India",CONSTRUCTION,Construction,4108671,bengaluru-india-temple,Bangalore,,India,,NA,TRUE,Bengaluru India ,12.9767936,77.590082,NA,NA,NA,NA,NA
Benin City Nigeria Temple,2,2,1,30700,2.17,NA,NA,NA,258.2,NA,NA,NA,2020-04-05,NA,NA,https://churchofjesuschristtemples.org/benin-city-nigeria-temple,"16 Commercial Avenue, Benin City, Nigeria",6.316702270965,5.624378424793,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Nigeria,ANNOUNCED,Announced,4130714,benin-city-nigeria-temple,,,nigeria,,nigeria,TRUE,Benin City Nigeria ,9.6000359,7.9999721,NA,NA,NA,NA,NA
Bentonville Arkansas Temple,2,2,1,28472,18.62,8,0,8,NA,1,Attached,No,2019-10-05,2020-11-07,2023-09-17,https://churchofjesuschristtemples.org/bentonville-arkansas-temple,"1105 McCollum Dr, Bentonville, Arkansas 72712, United States",36.385400467082,-94.181333829762,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Bentonville, Arkansas, United States",OPERATING,17 September 2023,4124793,bentonville-arkansas-temple,Bentonville,Arkansas,United States,"September 17, 2023",NA,FALSE,Bentonville  ,36.3728538,-94.2088172,05,007,020501,4,050070205014
Bern Switzerland Temple,4,7,1,35546,7,8,1,9,NA,1,Attached,Yes,1952-07-01,1953-08-05,1955-09-11,https://churchofjesuschristtemples.org/bern-switzerland-temple,"Tempelstrasse 2, CH-3052 Zollikofen, Switzerland",47.002146424261,7.458247787998,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z,"Zollikofen, Bern, Switzerland",OPERATING,11 September 1955,52,bern-switzerland-temple,Zollikofen,Bern,Switzerland,"September 11, 1955",NA,FALSE,Bern Switzerland ,46.9959463,7.4576417,NA,NA,NA,NA,NA
Billings Montana Temple,2,3,1,33800,10,10,0,10,NA,1,Attached,Yes,1996-08-30,1998-03-30,1999-11-20,https://churchofjesuschristtemples.org/billings-montana-temple,"3100 Rim Point Dr, Billings, Montana 59106-1386, United States",45.800097019319,-108.640476543755,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Billings, Montana, United States",OPERATING,20 November 1999,58,billings-montana-temple,Billings,Montana,United States,"November 20, 1999",NA,FALSE,Billings  ,45.7874957,-108.49607,30,111,001801,3,301110018013
Birmingham Alabama Temple,2,2,1,10700,5.6,10,0,10,662,1,Attached,Yes,1998-09-11,1999-10-09,2000-09-03,https://churchofjesuschristtemples.org/birmingham-alabama-temple,"1927 Mount Olive Blvd, Gardendale, Alabama 35071, United States",33.674413018708,-86.821239035028,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Gardendale, Alabama, United States",OPERATING,3 September 2000,36985,birmingham-alabama-temple,Gardendale,Alabama,United States,"September 3, 2000",NA,FALSE,Birmingham  ,33.6601033,-86.8127702,01,073,011703,2,010730117032
Bismarck North Dakota Temple,2,2,1,10700,1.6,4,0,4,NA,1,Attached,Yes,1998-07-29,1998-10-17,1999-09-19,https://churchofjesuschristtemples.org/bismarck-north-dakota-temple,"2930 Cody Dr, Bismarck, North Dakota 58503-0116, United States",46.838978094439,-100.814025747038,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Bismarck, North Dakota, United States",OPERATING,19 September 1999,36552,bismarck-north-dakota-temple,Bismarck,North Dakota,United States,"September 19, 1999",NA,FALSE,Bismarck  ,46.808327,-100.783739,38,015,011103,1,380150111031
Bogotá Colombia Temple,4,3,1,53500,3.71,22,7,29,NA,1,Attached,Yes,1984-04-07,1993-06-26,1999-04-24,https://churchofjesuschristtemples.org/bogota-colombia-temple,"Carrera 46 N°127-45, Bogotá, Distrito Capital, Colombia",4.676657471031,-74.074627132824,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Bogotá, Distrito Capital, Colombia",OPERATING,24 April 1999,31,bogota-colombia-temple,Bogotá,Distrito Capital,Colombia,"April 24, 1999",NA,FALSE,Bogotá Colombia ,4.6529539,-74.0835643,NA,NA,NA,NA,NA
Boise Idaho Temple,4,4,1,35868,4.83,16,0,16,NA,6,Detached,Yes,1982-03-31,1982-12-18,1984-05-25,https://churchofjesuschristtemples.org/boise-idaho-temple,"1211 S Cole Rd, Boise, Idaho 83709-1871, United States",43.59351800922,-116.275303958112,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Boise, Idaho, United States",OPERATING,25 May 1984,23,boise-idaho-temple,Boise,Idaho,United States,"May 25, 1984",NA,FALSE,Boise  ,43.6166163,-116.200886,16,001,001900,3,160010019003
Boston Massachusetts Temple,4,4,1,69600,8,13,0,13,331.2,1,Attached,Yes,1995-09-30,1997-06-13,2000-10-01,https://churchofjesuschristtemples.org/boston-massachusetts-temple,"100 Hinckley Wy, Belmont, Massachusetts 02478-2135, United States",42.41198674888,-71.188143208245,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Belmont, Massachusetts, United States",OPERATING,1 October 2000,17,boston-massachusetts-temple,Belmont,Massachusetts,United States,"October 1, 2000",NA,FALSE,Boston  ,42.3959296,-71.1786655,25,017,357800,1,250173578001
Bountiful Utah Temple,4,8,1,104000,9,51,0,51,NA,1,Attached,Yes,1990-02-02,1992-05-02,1995-01-08,https://churchofjesuschristtemples.org/bountiful-utah-temple,"640 S Bountiful Blvd, Bountiful, Utah 84010-1394, United States",40.882877996603,-111.846817029569,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z,"Bountiful, Utah, United States",OPERATING,8 January 1995,32,bountiful-utah-temple,Bountiful,Utah,United States,"January 8, 1995",NA,FALSE,Bountiful  ,40.8894611,-111.8804817,49,011,126402,1,490111264021
Brasília Brazil Temple,2,2,1,25000,6,14,3,17,NA,1,Attached,No,2017-04-02,2020-09-26,2023-09-17,https://churchofjesuschristtemples.org/brasilia-brazil-temple,"SGA/Norte Quadra 612 – Lote “C”, 70701-000 Brasilia–DF, Brazil",-15.790309987865,-47.884869961014,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Brasilia, Brazil",OPERATING,17 September 2023,4098471,brasilia-brazil-temple,Brasilia,,Brazil,"September 17, 2023",NA,TRUE,Brasília Brazil ,-15.7934036,-47.8823172,NA,NA,NA,NA,NA
Brigham City Utah Temple,2,3,1,36000,3.14,13,0,13,NA,2,Attached,Yes,2009-10-03,2010-07-31,2012-09-23,https://churchofjesuschristtemples.org/brigham-city-utah-temple,"250 S Main St, Brigham City, Utah 84302-2560, United States",41.505433000394,-112.016843013473,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Brigham City, Utah, United States",OPERATING,23 September 2012,4007349,brigham-city-utah-temple,Brigham City,Utah,United States,"September 23, 2012",NA,FALSE,Brigham City  ,41.5110434,-112.0154991,49,003,960701,1,490039607011
Brisbane Australia Temple,2,2,1,10700,0.86,12,1,13,76.5,1,Attached,Yes,1998-07-20,2001-05-26,2003-06-15,https://churchofjesuschristtemples.org/brisbane-australia-temple,"200 River Terrace, Kangaroo Point, Queensland 4169, Australia",-27.481074802336,153.033744372909,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Kangaroo Point, Queensland, Australia",OPERATING,15 June 2003,36553,brisbane-australia-temple,Kangaroo Point,Queensland,Australia,"June 15, 2003",NA,FALSE,Brisbane Australia ,-27.473864,153.0367846517436,NA,NA,NA,NA,NA
Budapest Hungary Temple,NA,NA,NA,18000,5.92,NA,NA,NA,474.3,NA,NA,NA,2019-04-07,NA,NA,https://churchofjesuschristtemples.org/budapest-hungary-temple,"Kocsis Sándor út and Borsikafū utca, Harsánylejtő, Budapest, Hungary",47.570320017436,19.007520041898,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Hungary,ANNOUNCED,Announced,4119597,budapest-hungary-temple,,,hungary,,hungary,TRUE,Budapest Hungary ,47.1817585,19.5060937,NA,NA,NA,NA,NA
Buenos Aires Argentina Temple,4,3,1,30659,3.73,47,12,59,42.9,6,Detached,Yes,1980-04-02,1983-04-20,1986-01-17,https://churchofjesuschristtemples.org/buenos-aires-argentina-temple,"Aut. Tte. Gral. Riccheri N° 4955, B1778DUA Ciudad Evita, Buenos Aires, Argentina",-34.731146453013,-58.517345922646,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Ciudad Evita, Buenos Aires, Argentina",OPERATING,17 January 1986,30,buenos-aires-argentina-temple,Ciudad Evita,Buenos Aires,Argentina,"January 17, 1986",NA,FALSE,Buenos Aires Argentina ,-34.7176772,-58.5295556,NA,NA,NA,NA,NA
Burley Idaho Temple,4,3,1,38600,10.1,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-06-04,NA,https://churchofjesuschristtemples.org/burley-idaho-temple,"40 South and 150 East, Burley, Idaho, United States",42.411999992287,-113.576709997643,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,United States,CONSTRUCTION,Construction,4138365,burley-idaho-temple,Burley,Idaho,United States,,NA,FALSE,Burley  ,42.5357428,-113.792794,16,031,950100,2,160319501002
Calgary Alberta Temple,2,3,1,33000,10.17,8,0,8,NA,1,Attached,Yes,2008-10-04,2010-05-15,2012-10-28,https://churchofjesuschristtemples.org/calgary-alberta-temple,"9802 Rocky Ridge Rd NW, Calgary, Alberta T3G 5J7, Canada",51.14033937973,-114.233948017579,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Calgary, Alberta, Canada",OPERATING,28 October 2012,4005411,calgary-alberta-temple,Calgary,Alberta,Canada,"October 28, 2012",NA,FALSE,Calgary Alberta ,51.0456064,-114.057541,NA,NA,NA,NA,NA
Cali Colombia Temple,1,1,1,9500,3.14,NA,NA,NA,NA,1,Attached,No,2021-04-04,NA,NA,https://churchofjesuschristtemples.org/cali-colombia-temple,"Calle 50 Norte and Avenida 4a Norte, La Flora, Cali, Colombia",3.486390013009,-76.520770022888,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Colombia,ANNOUNCED,Announced,4138358,cali-colombia-temple,,,colombia,,colombia,TRUE,Cali Colombia ,4.099917,-72.9088133,NA,NA,NA,NA,NA
Campinas Brazil Temple,4,3,1,48100,6.18,53,14,67,NA,1,Attached,Yes,1997-04-03,1998-05-01,2002-05-17,https://churchofjesuschristtemples.org/campinas-brazil-temple,"Rua James Esdras Faust, 400, Notre Dame, 13092-820 Campinas–SP, Brazil",-22.895976467806,-47.002359399101,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Campinas, Sao Paulo, Brazil",OPERATING,17 May 2002,36554,campinas-brazil-temple,Campinas,Sao Paulo,Brazil,"May 17, 2002",NA,FALSE,Campinas Brazil ,-22.9056391,-47.059564,NA,NA,NA,NA,NA
Cape Town South Africa Temple,1,1,1,9500,3.79,NA,NA,NA,27.9,1,Attached,No,2021-04-04,NA,NA,https://churchofjesuschristtemples.org/cape-town-south-africa-temple,"3 Liesbeek Road, Observatory, Cape Town, South Africa",-33.952129987978,18.481180024557,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,South Africa,ANNOUNCED,Announced,4138355,cape-town-south-africa-temple,,,south africa,,south africa,TRUE,Cape Town South Africa ,-28.8166236,24.991639,NA,NA,NA,NA,NA
