temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,prophet,interval,prophet_start,prophet_end
Lisbon Portugal Temple,2,1,1,23730,4.6,7,1,8,45.5,1,Attached,Yes,2010-10-02,2015-12-05,2019-09-15,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Logan Utah Temple,4,11,1,119619,9,43,0,43,NA,2,Attached,No,1876-10-06,1877-05-18,1884-05-17,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
London England Temple,4,8,1,42652,32,19,1,20,196.8,1,Attached,Yes,1953-08-10,1955-08-27,1958-09-07,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Londrina Brazil Temple,NA,NA,NA,32000,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Lone Mountain Nevada Temple,NA,NA,NA,87000,19.8,NA,NA,NA,NA,NA,NA,NA,2022-10-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Los Angeles California Temple,4,10,1,190614,13,36,0,36,289.9,1,Attached,Yes,1937-03-06,1951-09-22,1956-03-11,Heber J. Grant,1918-11-23 UTC--1945-05-14 UTC,1918-11-23T00:00:00Z,1945-05-14T00:00:00Z
Louisville Kentucky Temple,2,2,1,10700,3,9,0,9,785.7,1,Attached,Yes,1999-03-17,1999-05-29,2000-03-19,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Lubbock Texas Temple,2,2,1,16498,2.7,7,1,8,NA,1,Attached,Yes,2000-04-02,2000-11-04,2002-04-21,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Lubumbashi Democratic Republic of the Congo Temple,2,2,1,16700,2.57,NA,NA,NA,NA,1,Attached,No,2020-04-05,2022-08-20,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Maceió Brazil Temple,NA,NA,NA,19000,NA,NA,NA,NA,229.1,NA,NA,NA,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Madrid Spain Temple,4,4,1,45800,3.5,15,1,16,NA,1,Attached,Yes,1993-04-04,1996-06-11,1999-03-19,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Managua Nicaragua Temple,2,2,1,25000,8.9,NA,NA,NA,817.9,1,Attached,No,2018-04-01,2022-11-26,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Manaus Brazil Temple,2,2,1,32032,7.7,13,4,17,106.9,1,Attached,Yes,2007-05-23,2008-06-20,2012-06-10,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Manhattan New York Temple,2,2,1,20630,0.3,11,0,11,80.3,1,Attached,Yes,2002-08-07,2002-09-23,2004-06-13,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Manila Philippines Temple,4,3,1,26683,3.5,85,25,110,167.9,6,Detached,Yes,1981-04-01,1982-08-25,1984-09-25,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Manti Utah Temple,4,8,1,74792,27,23,0,23,NA,2,Attached,No,1875-06-25,1877-04-25,1888-05-21,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
McAllen Texas Temple,2,2,1,27897,10.61,5,0,5,107.2,1,Attached,No,2019-10-05,2020-11-21,2023-10-08,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Medford Oregon Temple,2,2,1,10700,2,7,0,7,NA,1,Attached,Yes,1999-03-15,1999-05-20,2000-04-16,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Melbourne Australia Temple,2,2,1,10700,5.98,11,0,11,314.1,1,Attached,Yes,1998-10-30,1999-03-20,2000-06-16,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Memphis Tennessee Temple,2,2,1,10890,6.35,6,0,6,323.7,1,Attached,Yes,1998-09-17,1999-01-16,2000-04-23,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Mendoza Argentina Temple,2,2,1,21000,15,NA,NA,NA,NA,1,Attached,No,2018-10-07,2020-12-17,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Mérida Mexico Temple,2,2,1,10700,1.53,14,2,16,34.7,1,Attached,Yes,1998-09-25,1999-01-16,2000-07-08,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Meridian Idaho Temple,3,5,1,67331,15.73,19,0,19,NA,1,Attached,Yes,2011-04-02,2014-08-23,2017-11-19,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Mesa Arizona Temple,4,6,1,75000,20,29,0,29,NA,0,None,No,1919-10-03,1922-04-25,1927-10-23,Heber J. Grant,1918-11-23 UTC--1945-05-14 UTC,1918-11-23T00:00:00Z,1945-05-14T00:00:00Z
Mexico City Benemérito Mexico Temple,NA,NA,NA,29000,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Mexico City Mexico Temple,4,11,1,116642,7,96,4,100,NA,1,Attached,Yes,1976-04-03,1979-11-25,1983-12-02,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Miraflores Guatemala City Guatemala Temple,2,2,1,30000,1.5,NA,NA,NA,NA,1,Attached,No,2020-10-04,2022-12-03,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Modesto California Temple,2,2,1,30000,17.63,NA,NA,NA,81.3,1,Attached,No,2022-04-03,2023-10-07,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Monterrey Mexico Temple,2,2,1,16498,7.78,26,6,32,NA,1,Attached,Yes,1995-12-21,2000-11-04,2002-04-28,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Montevideo Uruguay Temple,2,2,1,10700,1.59,18,2,20,41.4,1,Attached,Yes,1998-11-02,1999-04-27,2001-03-18,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Monticello Utah Temple,2,2,1,11225,1.33,7,0,7,NA,1,Attached,Yes,1997-10-04,1997-11-17,1998-07-26,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Montpelier Idaho Temple,2,2,1,27000,2.6,NA,NA,NA,NA,1,Attached,No,2022-04-03,2023-06-17,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Montreal Quebec Temple,2,2,1,11550,2.4,4,1,5,46.5,1,Attached,Yes,1998-08-06,1999-04-09,2000-06-04,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Moses Lake Washington Temple,2,2,1,28933,17.2,5,0,5,NA,1,Attached,No,2019-04-07,2020-10-10,2023-09-17,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Mount Timpanogos Utah Temple,4,8,1,107240,16.7,41,0,41,NA,1,Attached,Yes,1992-10-03,1993-10-09,1996-10-13,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Nairobi Kenya Temple,2,2,1,NA,NA,NA,NA,NA,NA,1,Attached,No,2017-04-02,2021-09-11,NA,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Nashville Tennessee Temple,2,2,1,10700,6.86,10,0,10,653.1,1,Attached,Yes,1994-11-09,1999-03-13,2000-05-21,Howard W. Hunter,1994-06-05 UTC--1995-03-03 UTC,1994-06-05T00:00:00Z,1995-03-03T00:00:00Z
Natal Brazil Temple,NA,NA,NA,19800,5.53,NA,NA,NA,129.4,NA,NA,NA,2023-04-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Nauvoo Illinois Temple,4,6,1,54000,3.3,5,0,5,650,1,Attached,Yes,1999-04-04,1999-10-24,2002-06-27,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Neiafu Tonga Temple,2,2,1,17000,3.3,NA,NA,NA,101.7,1,Attached,No,2019-04-07,2021-09-11,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Newport Beach California Temple,2,3,1,17800,8.8,15,0,15,196.1,1,Attached,Yes,2001-04-21,2003-08-15,2005-08-28,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Nuku'alofa Tonga Temple,2,3,1,21184,1.2,21,2,23,49.7,1,Attached,Yes,1980-04-02,1981-02-18,1983-08-09,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Oakland California Temple,4,7,1,80157,18.1,27,0,27,664.3,5,Attached,No,1961-01-23,1962-05-26,1964-11-17,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Oaxaca Mexico Temple,2,2,1,10700,1.87,7,5,12,NA,1,Attached,Yes,1999-02-23,1999-03-13,2000-03-11,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Ogden Utah Temple,6,9,1,112232,9.96,64,0,64,NA,1,Attached,Yes,1967-08-24,1969-09-08,1972-01-18,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Okinawa Japan Temple,1,1,1,12437,0.55,NA,NA,NA,141.9,1,Attached,No,2019-04-07,2020-12-05,2023-11-12,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Oklahoma City Oklahoma Temple,2,2,1,10890,1,13,0,13,NA,1,Attached,Yes,1999-03-14,1999-07-03,2000-07-30,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Oquirrh Mountain Utah Temple,4,7,1,60000,11,42,0,42,NA,1,Attached,Yes,2005-10-01,2006-12-16,2009-08-21,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Orem Utah Temple,4,4,1,71998,15.39,NA,NA,NA,NA,1,Attached,No,2019-10-05,2020-09-05,2024-01-21,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Orlando Florida Temple,4,5,1,70000,13,24,0,24,193.8,1,Attached,Yes,1990-02-17,1992-06-20,1994-10-09,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Oslo Norway Temple,1,1,1,10800,8,NA,NA,NA,110.4,1,Attached,No,2021-04-04,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Pago Pago American Samoa Temple,2,2,1,17000,NA,NA,NA,NA,61,1,Attached,No,2019-04-07,2021-10-30,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Palmyra New York Temple,2,2,1,10900,5,7,1,8,578.9,1,Attached,Yes,1999-02-21,1999-05-25,2000-04-06,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Panama City Panama Temple,2,2,1,18943,6.96,8,5,13,121.8,1,Attached,Yes,2002-08-23,2005-10-30,2008-08-10,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Papeete Tahiti Temple,2,2,1,12150,1.7,11,2,13,71.1,1,Attached,Yes,1980-04-02,1981-02-13,1983-10-27,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Paris France Temple,2,3,1,44175,2.26,8,0,8,390.5,0,None,No,2011-10-01,2012-08-24,2017-05-21,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Payson Utah Temple,3,7,1,96630,10.63,30,0,30,NA,1,Attached,Yes,2010-01-25,2011-10-08,2015-06-07,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Perth Australia Temple,2,2,1,10700,2.76,4,0,4,92.5,1,Attached,Yes,1999-06-11,1999-11-20,2001-05-20,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Philadelphia Pennsylvania Temple,2,4,1,61466,1.6,11,0,11,32.6,2,Attached,Yes,2008-10-04,2011-09-17,2016-09-18,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Phnom Penh Cambodia Temple,1,1,1,10000,3.16,NA,NA,NA,35.3,5,Attached,No,2018-10-07,2021-09-18,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Phoenix Arizona Temple,2,4,1,64870,5.19,20,0,20,NA,1,Attached,Yes,2008-05-24,2011-06-04,2014-11-16,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Pittsburgh Pennsylvania Temple,2,2,1,32000,5.8,NA,NA,NA,NA,1,Attached,No,2020-04-05,2021-08-21,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Pocatello Idaho Temple,4,4,1,71125,10.94,20,0,20,NA,1,Attached,Yes,2017-04-02,2019-03-16,2021-11-07,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Port Moresby Papua New Guinea Temple,1,1,1,9550,3.76,NA,NA,NA,82.9,1,Attached,No,2019-10-05,2023-04-22,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Port Vila Vanuatu Temple,1,1,1,10000,1.62,NA,NA,NA,64.1,1,Attached,No,2020-10-04,2023-04-08,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Port-au-Prince Haiti Temple,1,1,1,10396,1.77,5,4,9,674.7,1,Attached,No,2015-04-05,2017-10-28,2019-09-01,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Portland Oregon Temple,4,14,1,80500,7.3,31,0,31,235.8,6,Attached,Yes,1984-04-07,1986-09-20,1989-08-19,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Porto Alegre Brazil Temple,2,2,1,10700,2,27,5,32,307.7,1,Attached,Yes,1997-09-30,1998-05-02,2000-12-17,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Praia Cape Verde Temple,1,1,1,8759,4.46,4,1,5,17.9,1,Attached,No,2018-10-07,2019-05-04,2022-06-19,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Preston England Temple,4,4,1,69630,15,23,1,24,361.9,1,Attached,Yes,1992-10-19,1994-06-12,1998-06-07,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Provo City Center Temple,3,5,1,85084,5.6,29,0,29,NA,5,Attached,Yes,2011-10-01,2012-05-12,2016-03-20,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Provo Utah Temple,6,12,1,130825,17,57,0,57,NA,1,Attached,Yes,1967-08-14,1969-09-15,1972-02-09,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z
Puebla Mexico Temple,4,3,1,30000,6.84,NA,NA,NA,NA,1,Attached,Yes,2018-10-07,2019-11-30,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Querétaro Mexico Temple,2,2,1,27500,3.58,NA,NA,NA,NA,1,Attached,No,2021-04-04,2023-01-07,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Quetzaltenango Guatemala Temple,2,2,1,21085,6.47,19,6,25,NA,1,Attached,Yes,2006-12-16,2009-03-14,2011-12-11,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Quito Ecuador Temple,2,2,1,36780,3.96,16,1,17,NA,1,Attached,Yes,2016-04-03,2019-05-11,2022-11-20,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Raleigh North Carolina Temple,2,2,1,12864,3.17,14,0,14,447.6,1,Attached,Yes,1998-09-03,1999-02-06,1999-12-18,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Recife Brazil Temple,2,3,1,37200,5.59,45,5,50,15,1,Attached,Yes,1995-01-13,1996-11-11,2000-12-15,Howard W. Hunter,1994-06-05 UTC--1995-03-03 UTC,1994-06-05T00:00:00Z,1995-03-03T00:00:00Z
Red Cliffs Utah Temple,4,6,1,96277,15.12,NA,NA,NA,NA,1,Attached,Yes,2018-10-07,2020-11-07,2024-03-24,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Redlands California Temple,2,3,1,17300,4.6,19,0,19,NA,1,Attached,Yes,2001-04-21,2001-12-01,2003-09-14,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Regina Saskatchewan Temple,2,2,1,10700,1,2,0,2,NA,1,Attached,Yes,1998-08-03,1998-11-14,1999-11-14,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Reno Nevada Temple,2,2,1,10700,7.9,10,0,10,NA,1,Attached,Yes,1999-04-12,1999-07-24,2000-04-23,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Rexburg Idaho Temple,4,5,1,57504,10,27,0,27,NA,1,Attached,Yes,2003-12-12,2005-07-30,2008-02-10,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Ribeirão Preto Brazil Temple,NA,NA,NA,32000,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Richmond Virginia Temple,4,3,1,39202,12,13,0,13,280.7,1,Attached,Yes,2018-04-01,2020-04-11,2023-05-07,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Rio de Janeiro Brazil Temple,2,2,1,29966,9.44,17,3,20,9.4,1,Attached,Yes,2013-04-06,2017-03-04,2022-05-08,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Rome Italy Temple,2,3,1,41010,14.5,11,3,14,167.2,2,Attached,Yes,2008-10-04,2010-10-23,2019-03-10,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Sacramento California Temple,2,4,1,19500,46,17,0,17,257,1,Attached,Yes,2001-04-21,2004-08-22,2006-09-03,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Salt Lake Temple,5,23,2,403000,10,60,1,61,NA,6,Attached,Yes,1847-07-28,1853-02-14,1893-04-06,Brigham Young,1844-06-27 UTC--1877-08-29 UTC,1844-06-27T00:00:00Z,1877-08-29T00:00:00Z
Salta Argentina Temple,2,2,1,NA,17.72,NA,NA,NA,NA,1,Attached,Yes,2018-04-01,2020-11-04,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Salvador Brazil Temple,2,2,1,31530,4.6,NA,NA,NA,82.8,1,Attached,No,2018-10-07,2021-08-07,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
San Antonio Texas Temple,2,2,1,16800,5.5,16,1,17,NA,1,Attached,Yes,2001-06-24,2003-03-29,2005-05-22,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
San Diego California Temple,4,8,1,72000,7.2,16,0,16,338.3,10,Attached,Yes,1984-04-07,1988-02-27,1993-04-25,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
San Jose California Temple,2,2,1,30000,4.73,NA,NA,NA,181.3,NA,NA,NA,2023-04-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
San José Costa Rica Temple,2,2,1,10700,1.93,10,1,11,NA,1,Attached,Yes,1999-03-17,1999-04-24,2000-06-04,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
San Juan Puerto Rico Temple,1,1,1,6988,2.97,5,1,6,223.2,1,Attached,No,2018-10-07,2019-05-04,2023-01-15,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
San Luis Potosí Mexico Temple,1,1,1,9300,3.87,NA,NA,NA,NA,NA,NA,NA,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
San Pedro Sula Honduras Temple,4,3,1,30000,9.03,NA,NA,NA,324,1,Attached,No,2019-04-07,2020-09-05,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
San Salvador El Salvador Temple,2,2,1,27986,6.5,22,0,22,NA,1,Attached,Yes,2007-11-18,2008-09-20,2011-08-21,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Santa Cruz Bolivia Temple,2,2,1,29000,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-04,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Santiago Chile Temple,2,3,1,20831,2.61,51,6,57,NA,1,Attached,Yes,1980-04-02,1981-05-30,1983-09-15,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Santiago West Chile Temple,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Santo Domingo Dominican Republic Temple,4,4,1,67000,6.42,23,13,36,132.5,1,Attached,Yes,1993-11-16,1996-08-18,2000-09-17,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Santos Brazil Temple,NA,NA,NA,23000,NA,NA,NA,NA,11.6,NA,NA,NA,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
São Paulo Brazil Temple,2,4,1,59246,1.85,47,0,47,NA,1,Attached,Yes,1975-03-01,1976-03-20,1978-10-30,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
São Paulo East Brazil Temple,NA,NA,NA,46050,10.7,NA,NA,NA,NA,NA,NA,NA,2020-10-04,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Sapporo Japan Temple,2,3,1,48480,9.8,2,2,4,65,5,Attached,Yes,2009-10-03,2011-10-22,2016-08-21,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Saratoga Springs Utah Temple,4,6,1,97836,22.71,33,0,33,NA,1,Attached,Yes,2017-04-02,2019-10-19,2023-08-13,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Seattle Washington Temple,4,13,1,110000,23.5,31,0,31,412.7,1,Attached,Yes,1975-11-15,1978-05-27,1980-11-17,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
