temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,prophet,interval,prophet_start,prophet_end
Davao Philippines Temple,NA,NA,NA,18450,2.7,NA,NA,NA,68.4,1,Attached,No,2018-10-07,2020-11-14,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Denver Colorado Temple,4,5,1,29117,7.5,19,0,19,NA,1,Attached,Yes,1982-03-31,1984-05-19,1986-10-24,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Deseret Peak Utah Temple,4,4,1,70000,17.98,NA,NA,NA,NA,1,Attached,No,2019-04-07,2021-05-15,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Detroit Michigan Temple,2,2,1,10700,6.34,10,1,11,796.5,1,Attached,Yes,1998-08-10,1998-10-10,1999-10-23,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Draper Utah Temple,4,5,1,58300,12,28,0,28,NA,1,Attached,Yes,2004-10-02,2006-08-05,2009-03-20,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Durban South Africa Temple,1,1,1,19860,14.49,11,6,17,337.4,1,Attached,Yes,2011-10-01,2016-04-09,2020-02-16,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Edmonton Alberta Temple,2,2,1,10700,1,8,0,8,NA,1,Attached,Yes,1998-08-11,1999-02-27,1999-12-11,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Elko Nevada Temple,1,1,1,10000,5.2,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-05-07,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Ephraim Utah Temple,4,3,1,39000,9.16,NA,NA,NA,NA,2,Attached,No,2021-05-01,2022-08-27,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Farmington New Mexico Temple,2,2,1,25000,6.62,NA,NA,NA,NA,1,Attached,No,2021-04-04,2022-04-30,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Feather River California Temple,4,3,1,41665,9.24,7,0,7,60.4,1,Attached,Yes,2018-10-07,2020-07-18,2023-10-08,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Fort Collins Colorado Temple,2,3,1,42000,15.69,14,0,14,NA,1,Attached,Yes,2011-04-02,2013-08-24,2016-10-16,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Fort Lauderdale Florida Temple,2,3,1,30500,16.82,7,1,8,5.6,1,Attached,Yes,2009-10-03,2011-06-18,2014-05-04,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Fort Worth Texas Temple,2,2,1,30000,9.37,NA,NA,NA,768,1,Attached,No,2021-10-03,2023-10-28,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Fortaleza Brazil Temple,2,2,1,36000,10,24,3,27,202.2,1,Attached,Yes,2009-10-03,2011-11-15,2019-06-02,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Frankfurt Germany Temple,4,4,1,32895,5.6,15,3,18,669.9,1,Detached,Yes,1981-04-01,1985-07-01,1987-08-28,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Freetown Sierra Leone Temple,2,2,1,18000,2.9,NA,NA,NA,97.2,1,Attached,No,2019-10-05,2022-03-19,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Freiberg Germany Temple,2,2,1,21500,3.58,5,4,9,NA,1,Attached,Yes,1982-10-09,1983-04-23,1985-06-29,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Fresno California Temple,2,2,1,10700,2.34,8,0,8,319.5,1,Attached,Yes,1999-01-08,1999-03-20,2000-04-09,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Fukuoka Japan Temple,2,2,1,10700,1.25,4,5,9,81,1,Attached,Yes,1998-05-07,1999-03-20,2000-06-11,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
