name,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat,long
São Paulo East Brazil Temple,Brazil,ANNOUNCED,Announced,4134474,sao-paulo-east-brazil-temple,,,australia,,australia,TRUE,São Paulo East Brazil ,-24.7761086,134.755
Miraflores Guatemala City Guatemala Temple,Guatemala,CONSTRUCTION,Construction,4134473,miraflores-guatemala-city-guatemala-temple,,,guatemala,,guatemala,TRUE,Miraflores Guatemala City Guatemala ,15.5855545,-90.345759
Lindon Utah Temple,"Utah, United States",CONSTRUCTION,Construction,4134472,lindon-utah-temple,Lindon,Utah,United States,,NA,TRUE,Lindon  ,40.3432857,-111.72076
Baton Rouge Louisiana Temple,"Baton Rouge, Louisiana, United States",OPERATING,16 July 2000,36984,baton-rouge-louisiana-temple,Baton Rouge,Louisiana,United States,"July 16, 2000",NA,FALSE,Baton Rouge  ,30.4494155,-91.1869659
Port Vila Vanuatu Temple,Vanuatu,CONSTRUCTION,Construction,4134471,port-vila-vanuatu-temple,,,vanuatu,,vanuatu,TRUE,Port Vila Vanuatu ,-16.5255069,168.1069154
Birmingham Alabama Temple,"Gardendale, Alabama, United States",OPERATING,3 September 2000,36985,birmingham-alabama-temple,Gardendale,Alabama,United States,"September 3, 2000",NA,FALSE,Birmingham  ,33.6601033,-86.8127702
Tarawa Kiribati Temple,Kiribati,ANNOUNCED,Announced,4134470,tarawa-kiribati-temple,,,kiribati,,kiribati,TRUE,Tarawa Kiribati ,0.3448612,173.6641773
Melbourne Australia Temple,"Wantirna South, Victoria, Australia",OPERATING,16 June 2000,36986,melbourne-australia-temple,Wantirna South,Victoria,Australia,"June 16, 2000",NA,FALSE,Melbourne Australia ,-37.8737902,145.2217475
Columbia South Carolina Temple,"Hopkins, South Carolina, United States",OPERATING,16 October 1999,36987,columbia-south-carolina-temple,Hopkins,South Carolina,United States,"October 16, 1999",NA,FALSE,Columbia  ,33.9043212,-80.8770342
Memphis Tennessee Temple,"Bartlett, Tennessee, United States",OPERATING,23 April 2000,36988,memphis-tennessee-temple,Bartlett,Tennessee,United States,"April 23, 2000",NA,FALSE,Memphis  ,35.2045329,-89.8739753
Montevideo Uruguay Temple,"Carrasco, Montevideo, Uruguay",OPERATING,18 March 2001,36989,montevideo-uruguay-temple,Carrasco,Montevideo,Uruguay,"March 18, 2001",NA,FALSE,Montevideo Uruguay ,-34.8855774,-56.0581498
Villahermosa Mexico Temple,"Villahermosa, Tabasco, Mexico",OPERATING,21 May 2000,36991,villahermosa-mexico-temple,Villahermosa,Tabasco,Mexico,"May 21, 2000",NA,FALSE,Villahermosa Mexico ,18.0018152,-92.9330401483751
Iquitos Peru Temple,Peru,ANNOUNCED,Announced,4156607,iquitos-peru-temple,,,peru,,peru,TRUE,Iquitos Peru ,-6.8699697,-75.0458515
Retalhuleu Guatemala Temple,Guatemala,ANNOUNCED,Announced,4156606,retalhuleu-guatemala-temple,,,guatemala,,guatemala,TRUE,Retalhuleu Guatemala ,15.5855545,-90.345759
Vancouver British Columbia Temple,"Langley, British Columbia, Canada",OPERATING,2 May 2010,4007091,vancouver-british-columbia-temple,Langley,British Columbia,Canada,"May 2, 2010",NA,FALSE,Vancouver British Columbia ,49.1039289,-122.657047
Cedar City Utah Temple,"Cedar City, Utah, United States",OPERATING,10 December 2017,4028590,cedar-city-utah-temple,Cedar City,Utah,United States,"December 10, 2017",NA,FALSE,Cedar City  ,37.6774238,-113.061827
Manaus Brazil Temple,"Manaus, Amazonas, Brazil",OPERATING,10 June 2012,79543,manaus-brazil-temple,Manaus,Amazonas,Brazil,"June 10, 2012",NA,FALSE,Manaus Brazil ,-3.1316333,-59.9825041
Aba Nigeria Temple,"Aba, Abia, Nigeria",OPERATING,7 August 2005,43202,aba-nigeria-temple,Aba,Abia,Nigeria,"August 7, 2005",NA,FALSE,Aba Nigeria ,5.1128008,7.3651376
Helsinki Finland Temple,"Espoo, Uusimaa, Finland",OPERATING,22 October 2006,43203,helsinki-finland-temple,Espoo,Uusimaa,Finland,"October 22, 2006",NA,FALSE,Helsinki Finland ,60.2047672,24.6568435
Asunción Paraguay Temple,"Asunción, Alto Paraguay, Paraguay",OPERATING,19 May 2002,43204,asuncion-paraguay-temple,Asunción,Alto Paraguay,Paraguay,"May 19, 2002",NA,FALSE,Asunción Paraguay ,NA,NA
Accra Ghana Temple,"Accra, Greater Accra, Ghana",OPERATING,11 January 2004,36549,accra-ghana-temple,Accra,Greater Accra,Ghana,"January 11, 2004",NA,FALSE,Accra Ghana ,5.5571096,-0.2012376
Lubbock Texas Temple,"Lubbock, Texas, United States",OPERATING,21 April 2002,43205,lubbock-texas-temple,Lubbock,Texas,United States,"April 21, 2002",NA,FALSE,Lubbock  ,33.5855677,-101.8470215
Albuquerque New Mexico Temple,"Albuquerque, New Mexico, United States",OPERATING,5 March 2000,36550,albuquerque-new-mexico-temple,Albuquerque,New Mexico,United States,"March 5, 2000",NA,FALSE,Albuquerque  ,35.0841034,-106.650985
Snowflake Arizona Temple,"Snowflake, Arizona, United States",OPERATING,3 March 2002,43206,snowflake-arizona-temple,Snowflake,Arizona,United States,"March 3, 2002",NA,FALSE,Snowflake  ,34.5114704,-110.079608
Anchorage Alaska Temple,"Anchorage, Alaska, United States",OPERATING,9 January 1999,36551,anchorage-alaska-temple,Anchorage,Alaska,United States,"January 9, 1999",NA,FALSE,Anchorage  ,61.2163129,-149.894852
Columbia River Washington Temple,"Richland, Washington, United States",OPERATING,18 November 2001,43207,columbia-river-washington-temple,Richland,Washington,United States,"November 18, 2001",NA,FALSE,Columbia River  ,46.2804298,-119.275205
Bismarck North Dakota Temple,"Bismarck, North Dakota, United States",OPERATING,19 September 1999,36552,bismarck-north-dakota-temple,Bismarck,North Dakota,United States,"September 19, 1999",NA,FALSE,Bismarck  ,46.808327,-100.783739
Brisbane Australia Temple,"Kangaroo Point, Queensland, Australia",OPERATING,15 June 2003,36553,brisbane-australia-temple,Kangaroo Point,Queensland,Australia,"June 15, 2003",NA,FALSE,Brisbane Australia ,-27.473864,153.0367846517436
Campinas Brazil Temple,"Campinas, Sao Paulo, Brazil",OPERATING,17 May 2002,36554,campinas-brazil-temple,Campinas,Sao Paulo,Brazil,"May 17, 2002",NA,FALSE,Campinas Brazil ,-22.9056391,-47.059564
Ciudad Juárez Mexico Temple,"Ciudad Juárez, Chihuahua, Mexico",OPERATING,26 February 2000,36555,ciudad-juarez-mexico-temple,Ciudad Juárez,Chihuahua,Mexico,"February 26, 2000",NA,FALSE,Ciudad Juárez Mexico ,31.7372575,-106.485655
Colonia Juárez Chihuahua Mexico Temple,"Colonia Juárez, Chihuahua, Mexico",OPERATING,6 March 1999,36556,colonia-juarez-chihuahua-mexico-temple,Colonia Juárez,Chihuahua,Mexico,"March 6, 1999",NA,FALSE,Colonia Juárez Chihuahua Mexico ,30.3076107,-108.081005
Columbus Ohio Temple,"Columbus, Ohio, United States",OPERATING,4 September 1999,36557,columbus-ohio-temple,Columbus,Ohio,United States,"September 4, 1999",NA,FALSE,Columbus  ,39.9622601,-83.0007065
Edmonton Alberta Temple,"Edmonton, Alberta, Canada",OPERATING,11 December 1999,36558,edmonton-alberta-temple,Edmonton,Alberta,Canada,"December 11, 1999",NA,FALSE,Edmonton Alberta ,53.5462055,-113.491241
Fukuoka Japan Temple,"Fukuoka-shi, Fukuoka, Japan",OPERATING,11 June 2000,36559,fukuoka-japan-temple,Fukuoka-shi,Fukuoka,Japan,"June 11, 2000",NA,FALSE,Fukuoka Japan ,33.5898988,130.4017509
Halifax Nova Scotia Temple,"Dartmouth, Nova Scotia, Canada",OPERATING,14 November 1999,36560,halifax-nova-scotia-temple,Dartmouth,Nova Scotia,Canada,"November 14, 1999",NA,FALSE,Halifax Nova Scotia ,44.6799707,-63.5720232
Hermosillo Sonora Mexico Temple,"Hermosillo, Sonora, Mexico",OPERATING,27 February 2000,36561,hermosillo-sonora-mexico-temple,Hermosillo,Sonora,Mexico,"February 27, 2000",NA,FALSE,Hermosillo Sonora Mexico ,29.0948207,-110.9692202
Houston Texas Temple,"Spring, Texas, United States",OPERATING,26 August 2000,36562,houston-texas-temple,Spring,Texas,United States,"August 26, 2000",NA,FALSE,Houston  ,30.0798826,-95.4172549
Kyiv Ukraine Temple,"Kyevo-Sviatoshyns’ky Rayon, Kyiv, Ukraine",OPERATING,29 August 2010,36563,kyiv-ukraine-temple,Kyevo-Sviatoshyns’ky Rayon,Kyiv,Ukraine,"August 29, 2010",NA,FALSE,Kyiv Ukraine ,NA,NA
Kona Hawaii Temple,"Kailua-Kona, Hawaii, United States",RENOVATION,Renovation,36564,kona-hawaii-temple,Kailua-Kona,Hawaii,United States,,NA,FALSE,Kona  ,19.641941,-155.996933
Montreal Quebec Temple,"Longueuil, Quebec, Canada",OPERATING,4 June 2000,36565,montreal-quebec-temple,Longueuil,Quebec,Canada,"June 4, 2000",NA,FALSE,Montreal Quebec ,45.521906,-73.4644578
Porto Alegre Brazil Temple,"Porto Alegre, Rio Grande do Sul, Brazil",OPERATING,17 December 2000,36566,porto-alegre-brazil-temple,Porto Alegre,Rio Grande do Sul,Brazil,"December 17, 2000",NA,FALSE,Porto Alegre Brazil ,-30.0324999,-51.2303767
Regina Saskatchewan Temple,"Regina, Saskatchewan, Canada",OPERATING,14 November 1999,36567,regina-saskatchewan-temple,Regina,Saskatchewan,Canada,"November 14, 1999",NA,FALSE,Regina Saskatchewan ,50.44876,-104.61731
St. Paul Minnesota Temple,"Oakdale, Minnesota, United States",OPERATING,9 January 2000,36568,st.-paul-minnesota-temple,Oakdale,Minnesota,United States,"January 9, 2000",NA,FALSE,St. Paul  ,44.985624,-92.9645794
Suva Fiji Temple,"Samabula, Suva, Fiji",OPERATING,18 June 2000,36569,suva-fiji-temple,Samabula,Suva,Fiji,"June 18, 2000",NA,FALSE,Suva Fiji ,-18.1173104,178.4426504
Tampico Mexico Temple,"Ciudad Madero, Tamaulipas, Mexico",OPERATING,20 May 2000,36570,tampico-mexico-temple,Ciudad Madero,Tamaulipas,Mexico,"May 20, 2000",NA,FALSE,Tampico Mexico ,22.2474012,-97.8373079
Tijuana Mexico Temple,"Tijuana, Baja California, Mexico",OPERATING,13 December 2015,4009693,tijuana-mexico-temple,Tijuana,Baja California,Mexico,"December 13, 2015",NA,FALSE,Tijuana Mexico ,32.5317397,-117.019529
Hartford Connecticut Temple,"Farmington, Connecticut, United States",OPERATING,20 November 2016,4009692,hartford-connecticut-temple,Farmington,Connecticut,United States,"November 20, 2016",NA,FALSE,Hartford  ,41.7198216,-72.8320435
Lisbon Portugal Temple,"Lisbon, Portugal",OPERATING,15 September 2019,4009689,lisbon-portugal-temple,Lisbon,,Portugal,"September 15, 2019",NA,TRUE,Lisbon Portugal ,38.7077507,-9.1365919
Spokane Washington Temple,"Spokane, Washington, United States",OPERATING,21 August 1999,36582,spokane-washington-temple,Spokane,Washington,United States,"August 21, 1999",NA,FALSE,Spokane  ,47.6571934,-117.42351
Urdaneta Philippines Temple,"Urdaneta, Pangasinan, Philippines",CONSTRUCTION,Construction,4009691,urdaneta-philippines-temple,Urdaneta,Pangasinan,Philippines,,NA,FALSE,Urdaneta Philippines ,15.9759995,120.5668992
Detroit Michigan Temple,"Bloomfield Hills, Michigan, United States",OPERATING,23 October 1999,36583,detroit-michigan-temple,Bloomfield Hills,Michigan,United States,"October 23, 1999",NA,FALSE,Detroit  ,42.583645,-83.2454883
Indianapolis Indiana Temple,"Carmel, Indiana, United States",OPERATING,23 August 2015,4009690,indianapolis-indiana-temple,Carmel,Indiana,United States,"August 23, 2015",NA,FALSE,polis Indiana ,39.9784186,-86.1283681
Harrisburg Pennsylvania Temple,"Pennsylvania, United States",ANNOUNCED,Announced,4156620,harrisburg-pennsylvania-temple,Harrisburg,Pennsylvania,United States,,NA,TRUE,Harrisburg  ,40.2663107,-76.8861122
Charlotte North Carolina Temple,"North Carolina, United States",ANNOUNCED,Announced,4156619,charlotte-north-carolina-temple,Charlotte,North Carolina,United States,,NA,TRUE,Charlotte  ,35.2272086,-80.8430827
Tegucigalpa Honduras Temple,"Comayagüela, Francisco Morazán, Honduras",OPERATING,17 March 2013,77556,tegucigalpa-honduras-temple,Comayagüela,Francisco Morazán,Honduras,"March 17, 2013",NA,FALSE,Tegucigalpa Honduras ,14.0980079,-87.2099671
Winchester Virginia Temple,"Virginia, United States",ANNOUNCED,Announced,4156618,winchester-virginia-temple,Winchester,Virginia,United States,,NA,TRUE,Winchester  ,39.1852184,-78.1652404
Springfield Missouri Temple,"Missouri, United States",ANNOUNCED,Announced,4156617,springfield-missouri-temple,Springfield,Missouri,United States,,NA,TRUE,Springfield  ,37.1968298,-93.2946576
Bakersfield California Temple,"California, United States",ANNOUNCED,Announced,4156616,bakersfield-california-temple,Bakersfield,California,United States,,NA,TRUE,Bakersfield  ,35.3738712,-119.0194639
San Jose California Temple,"California, United States",ANNOUNCED,Announced,4156615,san-jose-california-temple,San Jose,California,United States,,NA,TRUE,San Jose  ,37.3361663,-121.890591
Lethbridge Alberta Temple,"Alberta, Canada",ANNOUNCED,Announced,4156614,lethbridge-alberta-temple,Alberta,,Canada,,NA,TRUE,Lethbridge Alberta ,52.2875,-117.4769
Hamburg Germany Temple,Germany,ANNOUNCED,Announced,4156613,hamburg-germany-temple,,,germany,,germany,TRUE,Hamburg Germany ,51.1638175,10.4478313
Jakarta Indonesia Temple,Indonesia,ANNOUNCED,Announced,4156612,jakarta-indonesia-temple,,,indonesia,,indonesia,TRUE,Jakarta Indonesia ,-2.4833826,117.8902853
Raleigh North Carolina Temple,"Apex, North Carolina, United States",OPERATING,18 December 1999,36603,raleigh-north-carolina-temple,Apex,North Carolina,United States,"December 18, 1999",NA,FALSE,Raleigh  ,35.7325352,-78.8505516
Iloilo Philippines Temple,Philippines,ANNOUNCED,Announced,4156611,iloilo-philippines-temple,,,philippines,,philippines,TRUE,Iloilo Philippines ,12.7503486,122.7312101
Tuguegarao City Philippines Temple,Philippines,ANNOUNCED,Announced,4156610,tuguegarao-city-philippines-temple,,,philippines,,philippines,TRUE,Tuguegarao City Philippines ,12.7503486,122.7312101
Natal Brazil Temple,Brazil,ANNOUNCED,Announced,4156609,natal-brazil-temple,,,brazil,,brazil,TRUE,Natal Brazil ,-10.3333333,-53.2
Rio de Janeiro Brazil Temple,"Rio de Janeiro, Brazil",OPERATING,8 May 2022,4028611,rio-de-janeiro-brazil-temple,Rio de Janeiro,,Brazil,"May 8, 2022",NA,TRUE,Rio de Janeiro Brazil ,-22.9110137,-43.2093727
Teresina Brazil Temple,Brazil,ANNOUNCED,Announced,4156608,teresina-brazil-temple,,,brazil,,brazil,TRUE,Teresina Brazil ,-10.3333333,-53.2
San Salvador El Salvador Temple,"Antiguo Cuscatlán, La Libertad, El Salvador",OPERATING,21 August 2011,4004669,san-salvador-el-salvador-temple,Antiguo Cuscatlán,La Libertad,El Salvador,"August 21, 2011",NA,FALSE,San Salvador El Salvador ,13.67026,-89.24631832742003
The Hague Netherlands Temple,"Zoetermeer, Zuid-Holland, Netherlands",OPERATING,8 September 2002,40705,the-hague-netherlands-temple,Zoetermeer,Zuid-Holland,Netherlands,"September 8, 2002",NA,FALSE,The Hague Netherlands ,52.0622531,4.4901218
Gilbert Arizona Temple,"Gilbert, Arizona, United States",OPERATING,2 March 2014,4004671,gilbert-arizona-temple,Gilbert,Arizona,United States,"March 2, 2014",NA,FALSE,Gilbert  ,33.3527632,-111.789037
The Gila Valley Arizona Temple,"Central, Arizona, United States",OPERATING,23 May 2010,4004670,the-gila-valley-arizona-temple,Central,Arizona,United States,"May 23, 2010",NA,FALSE,The Gila Valley  ,32.8675652,-109.7928591
Twin Falls Idaho Temple,"Twin Falls, Idaho, United States",OPERATING,24 August 2008,75531,twin-falls-idaho-temple,Twin Falls,Idaho,United States,"August 24, 2008",NA,FALSE,Twin Falls  ,42.5704456,-114.4602554
Winter Quarters Nebraska Temple,"Omaha, Nebraska, United States",OPERATING,22 April 2001,40202,winter-quarters-nebraska-temple,Omaha,Nebraska,United States,"April 22, 2001",NA,FALSE,Winter Quarters  ,41.2587459,-95.9383758
Draper Utah Temple,"Draper, Utah, United States",OPERATING,20 March 2009,75530,draper-utah-temple,Draper,Utah,United States,"March 20, 2009",NA,FALSE,Draper  ,40.5247777,-111.8627989
